Best Positive Stock,MW Direction-Based,MW General,Average Stock,Number of Stocks
0.041480055504664604,0.02260975328733883,-0.0013314695839279356,0.0017905812213965255,5
0.21550818489422374,0.11759328753571663,0.1097094630025639,0.11036501324348635,10
0.13432876338775923,0.05026245580975752,0.05017347206739209,0.05115199849139418,15
0.17752867858138854,0.03696588617974217,0.07300134514350876,0.07488938235424292,20
0.17801065400494065,0.06430034787868033,0.05381440119752279,0.053968723469525415,25
0.1875528990682942,0.11500981599140614,0.05260596118061511,0.04929163704326611,30
0.13585772397472473,0.07553636226988814,0.07474308936484753,0.07433767733558705,35
0.1875528990682942,0.12119682664873666,0.07245288982258447,0.07239380230635373,40
0.1663610299229974,0.1569213942311094,0.07214706911851021,0.07099327592548876,45
0.13848652408155804,0.08035077391600187,0.056151337384219735,0.05683635613920912,50
0.21550818489422374,0.11431943876321538,0.061469242561430715,0.06110125482502138,55
0.1875528990682942,0.07820236126236191,0.036122834544198845,0.036039021978882646,60
0.1875528990682942,0.08807153706996651,0.06570559414177546,0.06658831700218992,65
0.1683148792640521,0.07791167923627773,0.06439762398989579,0.06198891144611651,70
0.21550818489422374,0.1408358029803678,0.07088922054800695,0.07035427392091842,75
0.1403857599582683,0.08763309721077484,0.05105205319624284,0.0502320882640197,80
0.14252005447805716,0.023854662309396035,0.06619518939517133,0.06628798593002871,85
0.14252005447805716,0.0726149560017717,0.07445390163144827,0.074215555773254,90
0.24581824384354323,0.16209117936895678,0.0672568851814368,0.06665028032739229,95
0.1683148792640521,0.09731880391627534,0.07898805738775039,0.07929615590724204,100
0.18856945967306937,0.10313751146730077,0.06588192073006272,0.06635173589870669,105
0.13848652408155804,0.03487869917264641,0.07426700702192846,0.0746012059939185,110
0.1683148792640521,0.08802235409229708,0.05841200804402935,0.057843468947410104,115
0.21550818489422374,0.08328395697217972,0.06535701632629087,0.06567999748368436,120
0.21550818489422374,0.13811750000005119,0.06724352000143141,0.06741828628640611,125
0.1875528990682942,0.08218567536207444,0.07367238261588738,0.07278405977245694,130
0.1663610299229974,0.09512213758310661,0.06694528169698044,0.06546306949205771,135
0.16402502279939224,0.0929720631202211,0.06705451002352159,0.06699244656626302,140
0.1683148792640521,0.08058687141828691,0.06300492811834069,0.06253912360181668,145
0.1875528990682942,0.11318801097534625,0.059197889422268224,0.05918737358537429,150
0.1875528990682942,0.10030788199220741,0.07882853385963373,0.07944588008137399,155
0.21550818489422374,0.1071909774430071,0.06622640176879413,0.06511197002033975,160
0.21550818489422374,0.10355192758383214,0.0707157854172431,0.07072601668243661,165
0.21550818489422374,0.09715303955712473,0.059175422597383065,0.0590767168293711,170
0.21550818489422374,0.09874154664001433,0.06493170818708016,0.06432093958036944,175
0.1683148792640521,0.06917178685370495,0.05773172042986663,0.058108172598711594,180
0.24581824384354323,0.14144410006784947,0.06970141935106366,0.06928958934976781,185
0.1683148792640521,0.11749594117277895,0.053768375481826336,0.05387478975365889,190
0.18856945967306937,0.0861912995373113,0.07093514423246217,0.07169691109334853,195
0.1683148792640521,0.11799557965821839,0.06652964160759023,0.06543518807809057,200
0.1683148792640521,0.09164761685672773,0.05114838915333886,0.05109816700584657,205
0.1683148792640521,0.0844082165142579,0.06744186616463987,0.06826522109728006,210
0.1683148792640521,0.12006889945018084,0.06687390435416485,0.0663272298633224,215
0.1683148792640521,0.13062883476989184,0.06028225571761037,0.060207411862780225,220
0.1683148792640521,0.09748534967766087,0.07062668006068207,0.07063720452401623,225
0.1683148792640521,0.11807673500355786,0.07165354354289111,0.07141932319898436,230
0.1683148792640521,0.10244153911549336,0.0715232587888528,0.07152755901705588,235
0.1683148792640521,0.13581047949570424,0.06762894687367615,0.06690545547402182,240
0.1683148792640521,0.0811235564441164,0.05977762899513106,0.05939964626145411,245
0.1683148792640521,0.13826628181978573,0.06801037793085785,0.06801450687003419,250
0.21550818489422374,0.10076304944598302,0.0682818462831194,0.06829090978971575,255
0.21550818489422374,0.07452167455845338,0.06673356816369536,0.06660062719159687,260
0.1683148792640521,0.13052291786788994,0.06326412748732979,0.06319895130469289,265
0.1683148792640521,0.1226508695082924,0.06269961921987055,0.06178974944797222,270
0.1663610299229974,0.12049316695226264,0.05970621446165536,0.05916815267480002,275
0.1683148792640521,0.13916008603368968,0.06829074642586663,0.06780815856028699,280
0.1683148792640521,0.1102654844792541,0.06606618529138153,0.06597536050173614,285
0.1683148792640521,0.12372483881821172,0.0653590840040057,0.06518895749946951,290
0.1683148792640521,0.09434874578618913,0.06642111664553596,0.06636972374881234,295
0.1683148792640521,0.08964685240606118,0.0645474316968282,0.06476906801484095,300
0.21550818489422374,0.1352978710439734,0.06890655247893562,0.06851644172903182,305
0.1683148792640521,0.13067754704346912,0.06617898310107795,0.06544704710660398,310
0.21550818489422374,0.13850202722111327,0.06510579239484837,0.06514876103019684,315
0.1683148792640521,0.10437758498517069,0.06765061528562333,0.06775909564393778,320
0.1683148792640521,0.11165233921411533,0.06569510233672893,0.06540227037019641,325
0.21550818489422374,0.10795523745512403,0.06427475714780684,0.06433808747105352,330
0.1683148792640521,0.1198685054120987,0.06447971846993283,0.06473537413071173,335
0.1683148792640521,0.10759355543586091,0.05983975050205248,0.05982027954718805,340
0.1875528990682942,0.13317281629108368,0.06844498890893047,0.06849603041581087,345
0.1683148792640521,0.12318172698841301,0.0672090331557007,0.06666244667914922,350
0.1683148792640521,0.06288500599789182,0.06618481230236362,0.06623887954337948,355
0.21550818489422374,0.12439665774070696,0.06580939458367219,0.06573208618052373,360
0.1683148792640521,0.12532265429035117,0.06418066610251039,0.06394119738706272,365
0.1683148792640521,0.11493349957925969,0.06570189491761935,0.06566384078619203,370
0.1683148792640521,0.12081994101034343,0.06454036138668351,0.06443846985475599,375
0.1683148792640521,0.11513171217449059,0.06640553790831505,0.06616463676976725,380
0.1683148792640521,0.12123623302645736,0.06641025041724635,0.06623609016678222,385
0.1683148792640521,0.1210429965203983,0.06737633763150574,0.06712422708561849,390
0.21550818489422374,0.0804990382839117,0.06308639865447496,0.06283740675841742,395
0.21550818489422374,0.1031155149641989,0.06698350882732118,0.06706595908866397,400
